State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
SA ,6,967738,138249,3,24, C,WOODARDS,Damian,0,0,19,0,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,25, D,PHILLIPS,Andrew J,11,6,10925,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,26, D,HILLE,Basil V,1,0,95,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,27, E,LEES,Meg,40,23,11092,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,28, E,JONES,Kirk,1,0,19,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,29, E,MACINTOSH,Jenny,0,0,23,0,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,30, F,BERTULEIT,Tom,12,7,1210,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,31, F,McDONELL,Amy,4,2,55,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,32, G,McEWEN,Anne,-340581,-202332,138249,0.59407894157337,Elected, ,2,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,33, G,HURLEY,Annette Kay,339888,201920,203946,0.59407894157337,Elected,#,4,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,34, G,WORTLEY,Dana,210,124,972,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,35, H,MINCHIN,Nick,0,0,138249,0,Elected, ,1,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,36, H,VANSTONE,Amanda,0,0,319769,0,Elected, ,3,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,37, H,FERGUSON,Alan,11,6,636,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,38, H,LAWRIE,Sue,4,2,640,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,39, I,NOONE,Brian,219,130,62565,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
