State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
WA ,6,1128155,161166,3,35, H,HENNING,Norm,2,1,131,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,36, I,HARRINGTON,Mal,9,5,1967,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,37, I,MANSELL,Brendan,2,1,22,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,38, J,GIBSON,Geoff,2,1,915,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,39, J,CRABBE,Stephen G,1,0,18,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,40, K,SIEWERT,Rachel,286,159,89913,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,41, K,HUGHES,Colin,14,7,369,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,42, K,NEWALL,Christopher,7,3,179,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,43, K,PETERSON,Felicity,7,3,710,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,44, L,HOPKINSON,James,32,17,27395,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,45, L,McLEAN,Ron,4,2,253,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,46, M,GREIG,Brian,59,32,22245,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
