2022 Federal Election Senate First Preferences By Polling Place for Division 138 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:26 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,138,Page,2049,Bentley,O,37971,0,O Above-the-line Votes,Informed Medical Options Party,2
NSW,138,Page,2049,Bentley,O,36407,1,"O'NEILL, Michael",Informed Medical Options Party,0
NSW,138,Page,2049,Bentley,O,36410,2,"BURNUM BURNUM, Marelle",Informed Medical Options Party,0
NSW,138,Page,2049,Bentley,P,37985,0,P Above-the-line Votes,The Great Australian Party,0
NSW,138,Page,2049,Bentley,P,37446,1,"HOPKINS, Matthew",The Great Australian Party,0
NSW,138,Page,2049,Bentley,P,37449,2,"NOHRA, George",The Great Australian Party,0
NSW,138,Page,2049,Bentley,Q,37979,0,Q Above-the-line Votes,Legalise Cannabis Australia,4
NSW,138,Page,2049,Bentley,Q,36750,1,"BALDERSTONE, Michael",Legalise Cannabis Australia,0
NSW,138,Page,2049,Bentley,Q,36754,2,"HESTER, Gail",Legalise Cannabis Australia,0
NSW,138,Page,2049,Bentley,R,37974,0,R Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",1
NSW,138,Page,2049,Bentley,R,36465,1,"LEONG, Andrea","FUSION: Science, Pirate, Secular, Climate Emergency",1
NSW,138,Page,2049,Bentley,R,36467,2,"BRYCE, Ian R","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,138,Page,2049,Bentley,S,37986,0,S Above-the-line Votes,Pauline Hanson's One Nation,12
